ozone_column,uv_index,date
303.6,2.8,2026-01-25
342.2,2.5,2026-01-26
284.4,3.2,2026-01-27
305.5,3.0,2026-01-28
285.9,3.3,2026-01-29
273.7,3.5,2026-01-30
282.9,3.4,2026-01-31
289.9,3.4,2026-02-01
293.1,3.4,2026-02-02
358.2,2.7,2026-02-03
311.4,3.3,2026-02-04
323.0,3.2,2026-02-05
316.4,3.3,2026-02-06
302.8,3.5,2026-02-07
304.6,3.6,2026-02-08
312.9,3.5,2026-02-09
318.9,3.5,2026-02-10
339.6,3.3,2026-02-11
373.8,3.0,2026-02-12
327.2,3.6,2026-02-13
290.3,4.2,2026-02-14
311.7,3.9,2026-02-15
375.9,3.2,2026-02-16
369.4,3.3,2026-02-17
364.3,3.4,2026-02-18
363.1,3.5,2026-02-19
342.5,3.8,2026-02-20
310.4,4.4,2026-02-21
303.6,4.6,2026-02-22
292.7,4.9,2026-02-23
283.4,5.2,2026-02-24
285.3,5.2,2026-02-25
283.4,5.4,2026-02-26
276.3,5.6,2026-02-27
284.9,5.5,2026-02-28
275.7,5.9,2026-03-01
278.0,5.9,2026-03-02
271.0,6.2,2026-03-03
277.9,6.1,2026-03-04
313.3,5.3,2026-03-05
363.1,4.5,2026-03-06
338.0,4.9,2026-03-07
333.4,5.1,2026-03-08
332.3,5.2,2026-03-09
313.1,5.7,2026-03-10
314.0,5.8,2026-03-11
295.3,6.4,2026-03-12
292.9,6.5,2026-03-13
299.9,6.4,2026-03-14
305.3,6.4,2026-03-15
301.1,6.6,2026-03-16
291.2,7.0,2026-03-17
298.6,6.8,2026-03-18
284.7,7.4,2026-03-19
287.0,7.4,2026-03-20
292.3,7.3,2026-03-21
313.2,6.7,2026-03-22
287.4,7.7,2026-03-23
279.5,8.1,2026-03-24
283.9,8.0,2026-03-25
288.1,7.9,2026-03-26
